county,month,year,republicanfatalities
Derry,1,1921,0
Derry,2,1921,0
Derry,3,1921,0
Derry,4,1921,0
Derry,5,1921,0
Derry,6,1921,0
Derry,7,1921,0
Derry,8,1921,0
Derry,9,1921,0
Derry,10,1921,0
Derry,11,1921,0
Derry,12,1921,0
Donegal,1,1919,0
Donegal,2,1919,0
Donegal,3,1919,0
Donegal,4,1919,0
Donegal,5,1919,0
Donegal,6,1919,0
Donegal,7,1919,0
Donegal,8,1919,0
Donegal,9,1919,0
Donegal,10,1919,0
Donegal,11,1919,0
Donegal,12,1919,0
Donegal,1,1920,0
Donegal,2,1920,0
Donegal,3,1920,0
Donegal,4,1920,0
Donegal,5,1920,0
Donegal,6,1920,0
Donegal,7,1920,0
Donegal,8,1920,0
Donegal,9,1920,0
Donegal,10,1920,0
Donegal,11,1920,0
Donegal,12,1920,0
Donegal,1,1921,0
Donegal,2,1921,1
Donegal,3,1921,1
Donegal,4,1921,0
Donegal,5,1921,0
Donegal,6,1921,0
Donegal,7,1921,0
Donegal,8,1921,0
Donegal,9,1921,0
Donegal,10,1921,0
Donegal,11,1921,0
Donegal,12,1921,0
Down,1,1919,0
Down,2,1919,0
Down,3,1919,0
Down,4,1919,0
Down,5,1919,0
Down,6,1919,0
Down,7,1919,0
Down,8,1919,0
Down,9,1919,0
Down,10,1919,0
Down,11,1919,0
Down,12,1919,0
Down,1,1920,0
Down,2,1920,0
Down,3,1920,0
Down,4,1920,0
Down,5,1920,0
Down,6,1920,0
Down,7,1920,0
Down,8,1920,0
Down,9,1920,0
Down,10,1920,0
Down,11,1920,0
Down,12,1920,1
Down,1,1921,2
Down,2,1921,0
Down,3,1921,3
Down,4,1921,0
Down,5,1921,1
Down,6,1921,1
Down,7,1921,1
Down,8,1921,0
Down,9,1921,1
Down,10,1921,1
Down,11,1921,0
Down,12,1921,0
Dublin,1,1919,0
Dublin,2,1919,0
Dublin,3,1919,0
Dublin,4,1919,0
Dublin,5,1919,0
Dublin,6,1919,0
Dublin,7,1919,1
Dublin,8,1919,0
Dublin,9,1919,0
Dublin,10,1919,0
Dublin,11,1919,0
Dublin,12,1919,1
Dublin,1,1920,1
Dublin,2,1920,1
Dublin,3,1920,0
Dublin,4,1920,1
Dublin,5,1920,3
Dublin,6,1920,0
Dublin,7,1920,0
Dublin,8,1920,0
Dublin,9,1920,3
Dublin,10,1920,5
Dublin,11,1920,4
Dublin,12,1920,0
Dublin,1,1921,1
Dublin,2,1921,1
Dublin,3,1921,11
Dublin,4,1921,2
Dublin,5,1921,7
Dublin,6,1921,2
Dublin,7,1921,2
Dublin,8,1921,0
Dublin,9,1921,0
Dublin,10,1921,0
Dublin,11,1921,1
Dublin,12,1921,1
Fermanagh,1,1919,0
Fermanagh,2,1919,0
Fermanagh,3,1919,0
Fermanagh,4,1919,0
Fermanagh,5,1919,0
Fermanagh,6,1919,0
Fermanagh,7,1919,0
Fermanagh,8,1919,0
Fermanagh,9,1919,0
Fermanagh,10,1919,0
Fermanagh,11,1919,0
Fermanagh,12,1919,0
Fermanagh,1,1920,0
Fermanagh,2,1920,0
Fermanagh,3,1920,0
Fermanagh,4,1920,0
Fermanagh,5,1920,0
Fermanagh,6,1920,0
Fermanagh,7,1920,0
Fermanagh,8,1920,0
Fermanagh,9,1920,0
Fermanagh,10,1920,1
Fermanagh,11,1920,0
Fermanagh,12,1920,0
Fermanagh,1,1921,0
Fermanagh,2,1921,0
Fermanagh,3,1921,0
Fermanagh,4,1921,0
Fermanagh,5,1921,0
Fermanagh,6,1921,0
Fermanagh,7,1921,0
Fermanagh,8,1921,0
Fermanagh,9,1921,0
Fermanagh,10,1921,0
Fermanagh,11,1921,0
Fermanagh,12,1921,0
